,Title,Year,Duration,Genre,Rating
125,Hellboy II: The Golden Army,2008,120 min,"Action, Adventure, Fantasy",7.0
126,The Princess and the Frog,2009,97 min,"Animation, Adventure, Comedy",7.1
127,Transformers: Dark of the Moon,2011,154 min,"Action, Adventure, Sci-Fi",6.2
128,Eastern Promises,2007,100 min,"Crime, Drama, Thriller",7.6
129,Wreck-It Ralph,2012,101 min,"Animation, Adventure, Comedy",7.7
130,The Royal Tenenbaums,2001,110 min,"Comedy, Drama",7.6
131,Corpse Bride,2005,77 min,"Animation, Drama, Family",7.3
132,A History of Violence,2005,96 min,"Action, Crime, Drama",7.4
133,Cold Mountain,2003,154 min,"Adventure, Drama, History",7.2
134,Kung Fu Panda 2,2011,90 min,"Animation, Action, Adventure",7.2
135,Memoirs of a Geisha,2005,145 min,"Drama, Romance",7.3
136,The Assassination of Jesse James by the Coward Robert Ford,2007,160 min,"Biography, Crime, Drama",7.5
137,Rise of the Planet of the Apes,2011,105 min,"Action, Drama, Sci-Fi",7.6
138,Something's Gotta Give,2003,128 min,"Comedy, Drama, Romance",6.7
139,Lincoln,2012,150 min,"Biography, Drama, History",7.3
140,Gosford Park,2001,137 min,"Comedy, Drama, Mystery",7.2
141,Hugo,2011,126 min,"Adventure, Drama, Family",7.5
142,Salt,2010,100 min,"Action, Thriller",6.4
143,Real Steel,2011,127 min,"Action, Drama, Sci-Fi",7.0
144,Tinker Tailor Soldier Spy,2011,127 min,"Drama, Mystery, Thriller",7.0
145,Hollow Man,2000,112 min,"Action, Horror, Sci-Fi",5.8
146,127 Hours,2010,94 min,"Biography, Drama",7.6
147,"I, Robot",2004,115 min,"Action, Mystery, Sci-Fi",7.1
148,Rango,2011,107 min,"Animation, Action, Adventure",7.2
149,Superman Returns,2006,154 min,"Action, Adventure, Sci-Fi",6.1
150,Click,2006,107 min,"Comedy, Drama, Fantasy",6.4
151,Frida,2002,123 min,"Biography, Drama, Romance",7.3
152,Ray, 2004,152 min,"Biography, Drama, Music",7.7
153,The Descendants,2011,115 min,"Comedy, Drama",7.3
154,Match Point,2005,124 min,"Drama, Romance, Thriller",7.6
155,Marie Antoinette,2006,123 min,"Biography, Drama, History",6.5
156,Australia,2008,165 min,"Adventure, Drama, Romance",6.6
157,The Golden Compass,2007,113 min,"Adventure, Family, Fantasy",6.1
158,The Tree of Life,2011,139 min,"Drama, Fantasy",6.8
159,Babel, 2006,143 min,Drama,7.5
160,Happy Feet,2006,108 min,"Animation, Adventure, Comedy",6.4
161,Across the Universe,2007,133 min,"Drama, Fantasy, History",7.3
162,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84 min,Comedy,7.3
163,I Am Sam,2001,132 min,Drama,7.6
164,August Rush,2007,114 min,"Drama, Music",7.4
165,How the Grinch Stole Christmas,2000,104 min,"Comedy, Family, Fantasy",6.2
166,Adaptation.,2002,115 min,"Comedy, Drama",7.7
167,Chocolat,2000,121 min,"Drama, Romance",7.3
168,Ghost World,2001,111 min,"Comedy, Drama",7.3
169,The Illusionist,2006,110 min,"Drama, Fantasy, Mystery",7.6
170,Changeling,2008,141 min,"Biography, Crime, Drama",7.8
171,The Constant Gardener,2005,129 min,"Drama, Mystery, Romance",7.4
172,Bolt,2008,96 min,"Animation, Adventure, Comedy",6.8
173,21 Grams,2003,124 min,"Crime, Drama, Thriller",7.7
174,The Black Dahlia,2006,121 min,"Crime, Drama, Mystery",5.6
175,Winter's Bone,2010,100 min,"Drama, Mystery",7.1
176,Rio,2011,96 min,"Animation, Adventure, Comedy",6.9
177,The Ides of March,2011,101 min,"Drama, Thriller",7.1
178,Shark Tale,2004,90 min,"Animation, Adventure, Comedy",6.0
179,The Adventures of Tintin,2011,107 min,"Animation, Action, Adventure",7.3
180,Unstoppable,2010,98 min,"Action, Thriller",6.8
181,Monster House,2006,91 min,"Animation, Comedy, Family",6.6
182,The Wolfman,2010,103 min,"Drama, Fantasy, Horror",5.8
183,The Time Machine,2002,96 min,"Action, Adventure, Sci-Fi",5.9
184,Billy Elliot,2000,110 min,"Drama, Music",7.7
185,Norbit,2007,103 min,"Comedy, Romance",4.1
186,Jane Eyre,2011,120 min,"Drama, Romance",7.3
187,The Hours,2002,110 min,"Drama, Romance",7.5
188,The Way Back, 2010,133 min,"Adventure, Drama, History",7.3
189,War Horse,2011,146 min,"Action, Adventure, Drama",7.2
190,Quills,2000,124 min,"Biography, Drama",7.3
191,About a Boy,2002,101 min,"Comedy, Drama, Romance",7.1
192,Lars and the Real Girl,2007,106 min,"Comedy, Drama, Romance",7.3
193,The Imaginarium of Doctor Parnassus,2009,123 min,"Adventure, Comedy, Fantasy",6.8
194,Brother Bear,2003,85 min,"Animation, Adventure, Comedy",6.8
195,Space Cowboys,2000,130 min,"Action, Adventure, Thriller",6.5
196,Precious, 2009,110 min,Drama,7.3
197,Surf's Up,2007,85 min,"Animation, Adventure, Comedy",6.7
198,A Single Man,2009,99 min,"Drama, Romance",7.5
199,Io sono l'amore,2009,120 min,"Drama, Romance",7.0
200,The New World,2005,135 min,"Biography, Drama, History",6.7
201,Once, 2007,86 min,"Drama, Music, Romance",7.8
202,The Duchess,2008,110 min,"Biography, Drama, History",6.9
203,A Serious Man,2009,106 min,"Comedy, Drama",7.0
204,Elizabeth: The Golden Age,2007,114 min,"Biography, Drama, History",6.8
205,Milk, 2008,128 min,"Biography, Crime, Drama",7.5
206,The Muppets,2011,120 min,"Adventure, Comedy, Family",7.1
207,The Polar Express,2004,100 min,"Animation, Adventure, Comedy",6.6
208,Ali,2001,157 min,"Biography, Drama, Sport",6.7
209,Extremely Loud & Incredibly Close,2011,129 min,"Adventure, Drama, Mystery",6.9
210,Finding Neverland,2004,106 min,"Biography, Drama, Family",7.7
211,Notes on a Scandal,2006,92 min,"Crime, Drama, Romance",7.4
212,North Country,2005,126 min,Drama,7.3
213,I'm Not There,2007,135 min,"Biography, Drama, Music",6.8
214,Defiance, 2008,137 min,"Action, Drama, History",7.1
215,The Last King of Scotland,2006,123 min,"Biography, Drama, History",7.6
216,Julie & Julia,2009,123 min,"Biography, Drama, Romance",7.0
217,An Education,2009,100 min,Drama,7.3
218,Dreamgirls,2006,130 min,"Drama, Music, Musical",6.5
219,Nine,2009,118 min,"Drama, Musical, Romance",5.8
220,Charlie Wilson's War,2007,102 min,"Biography, Comedy, Drama",7.0
221,Capote,2005,114 min,"Biography, Crime, Drama",7.3
222,Invictus,2009,134 min,"Biography, Drama, History",7.3
223,Spirit: Stallion of the Cimarron,2002,83 min,"Animation, Adventure, Drama",7.1
224,The Young Victoria,2009,105 min,"Biography, Drama, History",7.2
225,Doubt, 2008,104 min,"Drama, Mystery",7.5
226,The Kids Are All Right,2010,106 min,"Comedy, Drama, Romance",7.0
227,Puss in Boots,2011,90 min,"Animation, Adventure, Comedy",6.6
228,United 93,2006,111 min,"Action, Drama, History",7.6
229,The Queen,2006,103 min,"Biography, Drama",7.3
230,The Curse of the Were-Rabbit,2005,85 min,"Animation, Adventure, Comedy",7.5
231,Half Nelson,2006,106 min,Drama,7.1
232,A Mighty Wind,2003,91 min,"Comedy, Music",7.2
233,Girl with a Pearl Earring,2003,100 min,"Biography, Drama, Romance",6.9
234,Crazy Heart,2009,112 min,"Drama, Music, Romance",7.2
235,Rachel Getting Married,2008,113 min,"Drama, Romance",6.7
236,House of Sand and Fog,2003,126 min,"Crime, Drama",7.5
237,Kate & Leopold,2001,118 min,"Comedy, Fantasy, Romance",6.4
238,Rabbit Hole,2010,91 min,Drama,7.0
239,ParaNorman,2012,92 min,"Animation, Adventure, Comedy",7.0
240,Seabiscuit,2003,140 min,"Drama, History, Sport",7.3
241,U-571,2000,116 min,"Action, War",6.6
242,In the Bedroom,2001,131 min,"Crime, Drama",7.4
243,Kinsey,2004,118 min,"Biography, Drama, Romance",7.1
244,Syriana,2005,128 min,"Drama, Thriller",6.9
245,Flags of Our Fathers,2006,135 min,"Action, Adventure, Drama",7.1
246,In the Loop,2009,106 min,Comedy,7.4
247,102 Dalmatians,2000,100 min,"Adventure, Comedy, Family",4.8
248,Country Strong,2010,117 min,"Drama, Music",6.3
249,My Week with Marilyn,2011,99 min,"Biography, Drama",6.9
